epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,82.4343,1.3474,1.99117,2.00645,1.28453,0,0.37665,0.56225,0.3521,0.1334,0.31383,0.45382,0.21242,0.05066,1.94664,1.4307,3.1004,1.77246,0,0.000663805,0.000663805,0.000663805
2,147.898,1.38984,1.74719,1.48257,1.29691,0,0.31739,0.38153,0.2003,0.06768,0.24153,0.27368,0.10393,0.02075,2.42715,1.66284,2.75985,2.06015,0,0.00128657,0.00128657,0.00128657
3,212.142,1.36746,1.72265,1.36079,1.27954,0,0.58601,0.55143,0.52644,0.25641,0.48697,0.50201,0.40022,0.10992,1.77367,1.40848,1.77454,1.5907,0,0.00186533,0.00186533,0.00186533
4,303.346,1.31006,1.73241,1.28608,1.25683,0,0.56121,0.56502,0.47092,0.18117,0.48264,0.4739,0.32055,0.07946,2.03782,1.35512,1.97641,2.01553,0,0.001802,0.001802,0.001802
5,406.095,1.23316,1.66386,1.1897,1.22593,0,0.74612,0.63855,0.67208,0.34986,0.61259,0.52209,0.47135,0.14607,1.65924,1.40422,1.56263,1.45635,0,0.001736,0.001736,0.001736
6,509.57,1.17805,1.65052,1.12637,1.20061,0,0.74281,0.66117,0.66478,0.33865,0.67751,0.56627,0.51358,0.14971,1.65047,1.30642,1.54854,1.50999,0,0.00167,0.00167,0.00167
7,615.338,1.14493,1.64471,1.0848,1.18284,0,0.62517,0.65644,0.62341,0.34025,0.57238,0.59438,0.49177,0.13655,1.54178,1.29858,1.43213,1.41312,0,0.001604,0.001604,0.001604
8,719.886,1.12143,1.63971,1.04504,1.17295,0,0.76493,0.65343,0.68361,0.42906,0.66752,0.56627,0.51592,0.15587,1.37159,1.30637,1.32824,1.33264,0,0.001538,0.001538,0.001538
9,829.318,1.08684,1.60221,1.0293,1.1595,0,0.72725,0.71888,0.67754,0.39003,0.627,0.61044,0.48249,0.15089,1.4136,1.27229,1.34084,1.30137,0,0.001472,0.001472,0.001472
10,934.229,1.053,1.59256,0.98824,1.14504,0,0.79392,0.6988,0.73826,0.44089,0.67934,0.59438,0.55398,0.16975,1.38936,1.27223,1.25963,1.30741,0,0.001406,0.001406,0.001406
